Date: <<2013/05/03 17:09:33>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:11:30>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:11:30>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:12:21>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:12:21>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:14:04>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:14:04>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:15:05>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:15:05>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:32:08>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:32:08>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:32:54>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:32:54>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:35:58>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:35:58>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
Date: <<2013/05/03 17:50:12>>, File: <<ManagerBridge.php>>, Line: <<21>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::loadConfig() should not be called statically>> 
Date: <<2013/05/03 17:50:12>>, File: <<ManagerBridge.php>>, Line: <<22>>, Path: <<tools/BHike/plugins/ProjectManager/server/include/management/>>, Mode: <<E_STRICT>>, Description: <<Non-static method ManagerBridge::instanciate() should not be called statically>> 
